geometry,Longitude,Latitude,Dissolved oxygen (mg/L),Potential of Hydrogen (pH),Total Dissolved Solids (mg/L),Nitrate N (mgN/L),Amonia N (mgN/L)
POINT (80.48109311535211 26.383930355718313),80.48109311535211,26.383930355718313,5.774556849888548,7.837494510517264,187.92189173282952,1.3101362142217632,0.29535352168000767
POINT (80.485226918169 26.38109545746479),80.485226918169,26.38109545746479,5.793696254562522,7.841707410383035,188.83854176824434,1.3142278255281923,0.2928774460583728
POINT (80.48936072098591 26.37826055921127),80.48936072098591,26.37826055921127,5.812178696323225,7.84573499878133,189.71664622117467,1.3181084381353705,0.2905232281376789
POINT (80.49349452380281 26.37542566095775),80.49349452380281,26.37542566095775,5.829935701440424,7.849565814068889,190.5536934880496,1.3217671584888713,0.28829886475785077
POINT (80.49762832661972 26.372590762704228),80.49762832661972,26.372590762704228,5.846933078276579,7.8531962440607055,191.34886019852553,1.3252010609306768,0.2862075257814727
POINT (80.50176212943661 26.369755864450706),80.50176212943661,26.369755864450706,5.863160651449197,7.856628027884753,192.10247557000633,1.3284126246489338,0.28424905534279205
POINT (80.50589593225352 26.366920966197185),80.50589593225352,26.366920966197185,5.8786247971887375,7.859866460981064,192.81563630106945,1.3314078957826456,0.2824210552632458
POINT (80.51002973507042 26.364086067943663),80.51002973507042,26.364086067943663,5.8933430408329315,7.862919113369204,193.48993139839334,1.334195178105081,0.2807196625568582
POINT (80.51416353788733 26.361251169690142),80.51416353788733,26.361251169690142,5.907340165423129,7.865794920777506,194.1272468986039,1.3367841071281135,0.27914010401886274
POINT (80.51829734070422 26.35841627143662),80.51829734070422,26.35841627143662,5.920645424193602,7.868503545670634,194.7296284486163,1.3391850013190414,0.27767708891842635
POINT (80.52243114352112 26.3555813731831),80.52243114352112,26.3555813731831,5.933290557702495,7.871054933070766,195.2991856644969,1.3414084129832176,0.2763250844207203
POINT (80.52656494633803 26.352746474929578),80.52656494633803,26.352746474929578,5.945308396419196,7.873459006569389,195.83802657399676,1.3434648225777088,0.27507850626652997
POINT (80.53069874915492 26.349911576676057),80.53069874915492,26.349911576676057,5.956731888527452,7.875725464912848,196.34821365445475,1.3453644357076184,0.2739318483737747
POINT (80.53483255197183 26.347076678422535),80.53483255197183,26.347076678422535,5.9675934359024705,7.877863650453704,196.8317353127086,1.3471170533168393,0.2728797685581293
POINT (80.53896635478873 26.344241780169014),80.53896635478873,26.344241780169014,5.977924452802123,7.8798824686829265,197.29048835002712,1.3487319937538456,0.27191714286224217
POINT (80.54310015760564 26.341406881915493),80.54310015760564,26.341406881915493,5.987755084879932,7.881790343806656,197.7262681863486,1.3502180513135782,0.2710390975593631
POINT (80.54723396042253 26.33857198366197),80.54723396042253,26.33857198366197,5.997114042969318,7.883595199500568,198.14076451137066,1.3515834801454465,0.2702410254082497
POINT (80.55136776323943 26.335737085408454),80.55136776323943,26.335737085408454,6.006028518395686,7.885304457000127,198.53556067844218,1.3528359955258307,0.2695185909257046
POINT (80.55550156605634 26.332902187154932),80.55550156605634,26.332902187154932,6.014524155569002,7.886925044880364,198.91213562788246,1.3539827867463368,0.26886772812575643
POINT (80.55963536887323 26.33006728890141),80.55963536887323,26.33006728890141,6.022625064195406,7.888463416473227,199.27186746834218,1.3550305375030403,0.2682846332149651
POINT (80.56376917169014 26.32723239064789),80.56376917169014,26.32723239064789,6.03035385827073,7.889925572028611,199.61603809331098,1.355985450857008,0.2677657540342304
POINT (80.56790297450704 26.324397492394368),80.56790297450704,26.324397492394368,6.037731712555128,7.891317083566103,199.94583839040976,1.3568532766956491,0.26730777752793194
POINT (80.57203677732394 26.321562594140847),80.57203677732394,26.321562594140847,6.0447784298242935,7.892643120975495,200.2623737323257,1.3576393402474098,0.26690761614970593
POINT (80.57617058014084 26.318727695887326),80.57617058014084,26.318727695887326,6.051512514095497,7.8939084783665,200.56666953335593,1.3583485706528442,0.2665623938436747
POINT (80.58030438295775 26.315892797633804),80.58030438295775,26.315892797633804,6.057951246424614,7.895117599989005,200.85967672449632,1.358985528920632,0.26626943204303305
POINT (80.58443818577464 26.313057899380283),80.58443818577464,26.313057899380283,6.064110760892475,7.8962746052759005,201.14227704971415,1.3595544348310549,0.2660262359850907
POINT (80.58857198859154 26.31022300112676),80.58857198859154,26.31022300112676,6.07000611914847,7.897383312726953,201.41528812184544,1.3600591925170702,0.2658304815384755
POINT (80.59270579140845 26.30738810287324),80.59270579140845,26.30738810287324,6.075651382424111,7.898447262470128,201.6794682020458,1.3605034145720007,0.2656800026638847
POINT (80.59683959422534 26.30455320461972),80.59683959422534,26.30455320461972,6.081059680326015,7.899469737420723,201.93552068481227,1.3608904446165648,0.2655727795766093
POINT (80.60097339704225 26.301718306366197),80.60097339704225,26.301718306366197,6.08624327600355,7.900453783016793,202.1840982832084,1.3612233783158747,0.26550692764148864
POINT (80.60510719985915 26.298883408112676),80.60510719985915,26.298883408112676,6.091213627490223,7.901402225549269,202.4258069175525,1.3615050828762651,0.26548068700476274
POINT (80.60924100267606 26.296048509859155),80.60924100267606,26.296048509859155,6.095981445163015,7.902317689131734,202.6612093166391,1.3617382150776487,0.26549241294937337
POINT (80.61337480549295 26.293213611605633),80.61337480549295,26.293213611605633,6.100556745363191,7.903202611371615,202.89082834422135,1.3619252379131137,0.2655405669484237
POINT (80.61750860830986 26.290378713352112),80.61750860830986,26.290378713352112,6.1049489002907595,7.904059257814665,203.11515006572327,1.3620684359166932,0.2656237083840094
POINT (80.62164241112676 26.287543815098594),80.62164241112676,26.287543815098594,6.10916668432798,7.904889735239488,203.33462657125702,1.3621699292644385,0.2657404868942885
POINT (80.62577621394365 26.284708916845073),80.62577621394365,26.284708916845073,6.113218316975103,7.905696003880668,203.54967857145462,1.3622316867348476,0.26588963530954796
POINT (80.62991001676056 26.28187401859155),80.62991001676056,26.28187401859155,6.117111502595358,7.9064798886581995,203.7606977824755,1.3622555376131928,0.2660699631374796
POINT (80.63404381957746 26.27903912033803),80.63404381957746,26.27903912033803,6.120853467172327,7.907243089488622,203.9680491161085,1.3622431826213257,0.26628035055841653
POINT (80.63817762239437 26.27620422208451),80.63817762239437,26.27620422208451,6.12445099228238,7.907987190749975,204.1720726902011,1.3621962039505535,0.26651974289255204
POINT (80.64231142521126 26.273369323830988),80.64231142521126,26.273369323830988,6.127910446479747,7.908713669968586,204.3730856738082,1.3621160744706782,0.26678714550287314
POINT (80.64644522802817 26.270534425577466),80.64644522802817,26.270534425577466,6.131237814284888,7.909423905791607,204.57138398058845,1.3620041661834856,0.26708161909957245
POINT (80.65057903084507 26.267699527323945),80.65057903084507,26.267699527323945,6.134438722956794,7.910119185304622,204.76724382302237,1.3618617579841192,0.2674022754138144
POINT (80.65471283366197 26.264864629070424),80.65471283366197,26.264864629070424,6.137518467220278,7.910800710749451,204.96092313913803,1.3616900427889773,0.26774827321096667
POINT (80.65884663647887 26.262029730816902),80.65884663647887,26.262029730816902,6.140482032107827,7.911469605692927,205.15266290250582,1.361490134084172,0.2681188146155429
POINT (80.66298043929577 26.25919483256338),80.66298043929577,26.25919483256338,6.143334114065273,7.912126920693312,205.34268832543174,1.3612630719441414,0.2685131417222557
POINT (80.66711424211267 26.25635993430986),80.66711424211267,26.25635993430986,6.146079140459428,7.912773638507361,205.53120996444608,1.361009828565915,0.2689305334695696
POINT (80.67124804492957 26.253525036056338),80.67124804492957,26.253525036056338,6.148721287615667,7.913410678877168,205.7184247364323,1.3607313133606105,0.26937030275407103
POINT (80.67538184774648 26.250690137802817),80.67538184774648,26.250690137802817,6.15126449750369,7.914038902932857,205.90451685303628,1.3604283776401758,0.26983179376577954
POINT (80.67951565056337 26.247855239549295),80.67951565056337,26.247855239549295,6.15371249317997,7.914659117243845,206.08965868032055,1.3601018189340603,0.2703143795261535
POINT (80.68364945338028 26.245020341295774),80.68364945338028,26.245020341295774,6.156068793087185,7.915272077548674,206.27401153004695,1.359752384967431,0.27081745961215364
POINT (80.68778325619718 26.242185443042253),80.68778325619718,26.242185443042253,6.1583367243022415,7.915878492190765,206.45772638838852,1.3593807773297821,0.27134045805109
POINT (80.69191705901409 26.239350544788735),80.69191705901409,26.239350544788735,6.160519434817435,7.916479025284988,206.6409445873857,1.3589876548601836,0.2718828213723624
POINT (80.69605086183098 26.236515646535214),80.69605086183098,26.236515646535214,6.162619904931821,7.917074299637791,206.82379842397,1.3585736367731072,0.27244401680334096
POINT (80.70018466464788 26.233680748281692),80.70018466464788,26.233680748281692,6.164640957823849,7.917664899441618,207.00641173097802,1.3581393055466087,0.2730235305978108
POINT (80.70431846746479 26.23084585002817),80.70431846746479,26.23084585002817,6.1665852693700565,7.918251372762478,207.18890040416537,1.357685209592725,0.27362086648635076
POINT (80.70845227028168 26.22801095177465),80.70845227028168,26.22801095177465,6.168455377269366,7.918834233837894,207.37137288889286,1.3572118657281713,0.27423554423897867
POINT (80.71258607309859 26.22517605352113),80.71258607309859,26.22517605352113,6.1702536895275,7.919413965200957,207.5539306298334,1.3567197614617843,0.2748670983312415
POINT (80.71671987591549 26.222341155267607),80.71671987591549,26.222341155267607,6.171982492351352,7.919991019644781,207.73666848674142,1.3562093571137737,0.2755150767056482
POINT (80.7208536787324 26.219506257014086),80.7208536787324,26.219506257014086,6.173643957499203,7.920565822040442,207.91967511908237,1.355681087780418,0.27617903962111795
POINT (80.72498748154929 26.216671358760564),80.72498748154929,26.216671358760564,6.175240149128509,7.921138771020315,208.10303334205258,1.3551353651567266,0.27685855858366615
POINT (80.7291212843662 26.213836460507043),80.7291212843662,26.213836460507043,6.176773030179945,7.921710240537764,208.2868204563267,1.3545725792284318,0.27755321535222366
POINT (80.7332550871831 26.21100156225352),80.7332550871831,26.21100156225352,6.178244468332686,7.922280581313029,208.47110855364053,1.3539930998437204,0.27826260101391337
POINT (80.73738888999999 26.208166664),80.73738888999999,26.208166664,6.1796562415635,7.922850122174529,208.65596480016467,1.3533972781741799,0.27898631512369093
POINT (80.7415226928169 26.20533176574648),80.7415226928169,26.20533176574648,6.181010043339113,7.923419171303802,208.8414516994328,1.3527854480736423,0.27972396490360096
POINT (80.7456564956338 26.202496867492957),80.7456564956338,26.202496867492957,6.182307487469245,7.923988017391769,209.02762733645562,1.3521579273428532,0.28047516449735704
POINT (80.7497902984507 26.199661969239436),80.7497902984507,26.199661969239436,6.183550112645274,7.924556930713243,209.214545604511,1.3515150189071845,0.2812395342763166
POINT (80.7539241012676 26.196827070985915),80.7539241012676,26.196827070985915,6.184739386687497,7.925126164126088,209.4022564159655,1.3508570119140673,0.28201670019319147
POINT (80.75805790408451 26.193992172732393),80.75805790408451,26.193992172732393,6.185876710522222,7.925695954000878,209.59080589838942,1.3501841827561625,0.28280629318023603
POINT (80.7621917069014 26.191157274478876),80.7621917069014,26.191157274478876,6.186963421908007,7.926266521086415,209.78023657709937,1.3494967960258741,0.2836079485888107
POINT (80.7663255097183 26.188322376225354),80.7663255097183,26.188322376225354,6.188000798929105,7.9268380713160695,209.97058754519597,1.3487951054062606,0.2844213056675947
POINT (80.77045931253521 26.185487477971833),80.77045931253521,26.185487477971833,6.188990063272463,7.927410796559387,210.16189462205057,1.3480793545030427,0.285246007076829
POINT (80.7745931153521 26.18265257971831),80.7745931153521,26.18265257971831,6.189932383303533,7.9279848753231965,210.3541905011374,1.3473497776219803,0.28608169843626424
POINT (80.77872691816901 26.17981768146479),80.77872691816901,26.17981768146479,6.190828876954919,7.928560473406008,210.5475048880315,1.3466066004955384,0.28692802790466043
POINT (80.78286072098591 26.17698278321127),80.78286072098591,26.17698278321127,6.191680614440703,7.92913774450919,210.74186462931442,1.3458500409624865,0.2877846457888024
POINT (80.78699452380282 26.174147884957748),80.78699452380282,26.174147884957748,6.192488620808443,7.929716830808204,210.93729383309395,1.3450803096037058,0.28865120418025747
POINT (80.79112832661971 26.171312986704226),80.79112832661971,26.171312986704226,6.193253878339819,7.930297863486853,211.13381398176324,1.3442976103373048,0.2895273566181218
POINT (80.79526212943662 26.168478088450705),80.79526212943662,26.168478088450705,6.193977328810108,7.930880963237278,211.33144403760093,1.3435021409757932,0.29041275777626296
POINT (80.79939593225352 26.165643190197184),80.79939593225352,26.165643190197184,6.194659875615873,7.931466240728257,211.53020054174192,1.342694093747958,0.2913070631735589
POINT (80.80352973507041 26.162808291943662),80.80352973507041,26.162808291943662,6.19530238577961,7.932053797044143,211.7300977070332,1.3418736557877597,0.2922099289058678
POINT (80.80766353788732 26.15997339369014),80.80766353788732,26.15997339369014,6.1959056918393545,7.932643724096554,211.93114750522722,1.3410410095924874,0.29312101139845226
